English,Tovian,IPA,Roots
auxiliary-form: 2nd potential reciprocal immediate (future),oshorako, / oʃ.or.ˈak.o / ,_
auxiliary-form: 2nd potential reciprocal immediate (past),oshorake, / oʃ.or.ˈak.e / ,_
auxiliary-form: 2nd potential reciprocal immediate (present),oshoraka, / oʃ.or.ˈak.a / ,_
auxiliary-form: 2nd potential reciprocal imperfective (future),oshoratho, / oʃ.or.ˈaθ.o / ,_
auxiliary-form: 2nd potential reciprocal imperfective (past),oshorathe, / oʃ.or.ˈaθ.e / ,_
auxiliary-form: 2nd potential reciprocal imperfective (present),oshoratha, / oʃ.or.ˈaθ.a / ,_
auxiliary-form: 2nd potential reciprocal inceptive (future),oshorayo, / oʃ.or.ˈaj.o / ,_
auxiliary-form: 2nd potential reciprocal inceptive (past),oshoraye, / oʃ.or.ˈaj.e / ,_
auxiliary-form: 2nd potential reciprocal inceptive (present),oshoraya, / oʃ.or.ˈaj.a / ,_
auxiliary-form: 2nd potential reciprocal iterative (future),oshorano, / oʃ.or.ˈan.o / ,_
auxiliary-form: 2nd potential reciprocal iterative (past),oshorane, / oʃ.or.ˈan.e / ,_
auxiliary-form: 2nd potential reciprocal iterative (present),oshorana, / oʃ.or.ˈan.a / ,_
auxiliary-form: 2nd potential reciprocal near (future),oshoratlo, / oʃ.or.ˈaƛ.o / ,_
auxiliary-form: 2nd potential reciprocal near (past),oshoratle, / oʃ.or.ˈaƛ.e / ,_
auxiliary-form: 2nd potential reciprocal near (present),oshoratla, / oʃ.or.ˈaƛ.a / ,_
auxiliary-form: 2nd potential reciprocal perfect (future),oshoralho, / oʃ.or.ˈaɬ.o / ,_
auxiliary-form: 2nd potential reciprocal perfect (past),oshoralhe, / oʃ.or.ˈaɬ.e / ,_
auxiliary-form: 2nd potential reciprocal perfect (present),oshoralha, / oʃ.or.ˈaɬ.a / ,_
auxiliary-form: 2nd potential reciprocal progressive (future),oshoraso, / oʃ.or.ˈas.o / ,_
auxiliary-form: 2nd potential reciprocal progressive (past),oshorase, / oʃ.or.ˈas.e / ,_
auxiliary-form: 2nd potential reciprocal progressive (present),oshorasa, / oʃ.or.ˈas.a / ,_
auxiliary-form: 2nd potential reciprocal remote (future),oshoraho, / oʃ.or.ˈah.o / ,_
auxiliary-form: 2nd potential reciprocal remote (past),oshorahe, / oʃ.or.ˈah.e / ,_
auxiliary-form: 2nd potential reciprocal remote (present),oshoraha, / oʃ.or.ˈah.a / ,_
auxiliary-form: 2nd potential reciprocal simple (future),oshorafo, / oʃ.or.ˈaf.o / ,_
auxiliary-form: 2nd potential reciprocal simple (past),oshorafe, / oʃ.or.ˈaf.e / ,_
auxiliary-form: 2nd potential reciprocal simple (present),oshorafa, / oʃ.or.ˈaf.a / ,_
auxiliary-form: 2nd potential reflexive cessative (future),oshotepo, / oʃ.ot.ˈep.o / ,_
auxiliary-form: 2nd potential reflexive cessative (past),oshotepe, / oʃ.ot.ˈep.e / ,_
auxiliary-form: 2nd potential reflexive cessative (present),oshotepa, / oʃ.ot.ˈep.a / ,_
auxiliary-form: 2nd potential reflexive continuous (future),oshotesho, / oʃ.ot.ˈeʃ.o / ,_
auxiliary-form: 2nd potential reflexive continuous (past),oshoteshe, / oʃ.ot.ˈeʃ.e / ,_
auxiliary-form: 2nd potential reflexive continuous (present),oshotesha, / oʃ.ot.ˈeʃ.a / ,_
auxiliary-form: 2nd potential reflexive habitual (future),oshotemo, / oʃ.ot.ˈem.o / ,_
auxiliary-form: 2nd potential reflexive habitual (past),oshoteme, / oʃ.ot.ˈem.e / ,_
auxiliary-form: 2nd potential reflexive habitual (present),oshotema, / oʃ.ot.ˈem.a / ,_
auxiliary-form: 2nd potential reflexive immediate (future),oshoteko, / oʃ.ot.ˈek.o / ,_
auxiliary-form: 2nd potential reflexive immediate (past),oshoteke, / oʃ.ot.ˈek.e / ,_
auxiliary-form: 2nd potential reflexive immediate (present),oshoteka, / oʃ.ot.ˈek.a / ,_
auxiliary-form: 2nd potential reflexive imperfective (future),oshotetho, / oʃ.ot.ˈeθ.o / ,_
auxiliary-form: 2nd potential reflexive imperfective (past),oshotethe, / oʃ.ot.ˈeθ.e / ,_
auxiliary-form: 2nd potential reflexive imperfective (present),oshotetha, / oʃ.ot.ˈeθ.a / ,_
auxiliary-form: 2nd potential reflexive inceptive (future),oshoteyo, / oʃ.ot.ˈej.o / ,_
auxiliary-form: 2nd potential reflexive inceptive (past),oshoteye, / oʃ.ot.ˈej.e / ,_
auxiliary-form: 2nd potential reflexive inceptive (present),oshoteya, / oʃ.ot.ˈej.a / ,_
auxiliary-form: 2nd potential reflexive iterative (future),oshoteno, / oʃ.ot.ˈen.o / ,_
auxiliary-form: 2nd potential reflexive iterative (past),oshotene, / oʃ.ot.ˈen.e / ,_
auxiliary-form: 2nd potential reflexive iterative (present),oshotena, / oʃ.ot.ˈen.a / ,_
auxiliary-form: 2nd potential reflexive near (future),oshotetlo, / oʃ.ot.ˈeƛ.o / ,_
auxiliary-form: 2nd potential reflexive near (past),oshotetle, / oʃ.ot.ˈeƛ.e / ,_
auxiliary-form: 2nd potential reflexive near (present),oshotetla, / oʃ.ot.ˈeƛ.a / ,_
auxiliary-form: 2nd potential reflexive perfect (future),oshotelho, / oʃ.ot.ˈeɬ.o / ,_
auxiliary-form: 2nd potential reflexive perfect (past),oshotelhe, / oʃ.ot.ˈeɬ.e / ,_
auxiliary-form: 2nd potential reflexive perfect (present),oshotelha, / oʃ.ot.ˈeɬ.a / ,_
auxiliary-form: 2nd potential reflexive progressive (future),oshoteso, / oʃ.ot.ˈes.o / ,_
auxiliary-form: 2nd potential reflexive progressive (past),oshotese, / oʃ.ot.ˈes.e / ,_
auxiliary-form: 2nd potential reflexive progressive (present),oshotesa, / oʃ.ot.ˈes.a / ,_
auxiliary-form: 2nd potential reflexive remote (future),oshoteho, / oʃ.ot.ˈeh.o / ,_
auxiliary-form: 2nd potential reflexive remote (past),oshotehe, / oʃ.ot.ˈeh.e / ,_
auxiliary-form: 2nd potential reflexive remote (present),oshoteha, / oʃ.ot.ˈeh.a / ,_
auxiliary-form: 2nd potential reflexive simple (future),oshotefo, / oʃ.ot.ˈef.o / ,_
auxiliary-form: 2nd potential reflexive simple (past),oshotefe, / oʃ.ot.ˈef.e / ,_
auxiliary-form: 2nd potential reflexive simple (present),oshotefa, / oʃ.ot.ˈef.a / ,_
auxiliary-form: 2nd potential remote (future),oshoho, / oʃ.ˈoh.o / ,_
auxiliary-form: 2nd potential remote (past),oshohe, / oʃ.ˈoh.e / ,_
auxiliary-form: 2nd potential remote (present),oshoha, / oʃ.ˈoh.a / ,_
auxiliary-form: 2nd potential simple (future),oshofo, / oʃ.ˈof.o / ,_
auxiliary-form: 2nd potential simple (past),oshofe, / oʃ.ˈof.e / ,_
auxiliary-form: 2nd potential simple (present),oshofa, / oʃ.ˈof.a / ,_
auxiliary-form: 2nd progressive (future),oso, / ˈos.o / ,_
auxiliary-form: 2nd progressive (past),ose, / ˈos.e / ,_
auxiliary-form: 2nd progressive (present),osa, / ˈos.a / ,_
auxiliary-form: 2nd reciprocal cessative (future),orapo, / or.ˈap.o / ,_
auxiliary-form: 2nd reciprocal cessative (past),orape, / or.ˈap.e / ,_
auxiliary-form: 2nd reciprocal cessative (present),orapa, / or.ˈap.a / ,_
auxiliary-form: 2nd reciprocal continuous (future),orasho, / or.ˈaʃ.o / ,_
auxiliary-form: 2nd reciprocal continuous (past),orashe, / or.ˈaʃ.e / ,_
auxiliary-form: 2nd reciprocal continuous (present),orasha, / or.ˈaʃ.a / ,_
auxiliary-form: 2nd reciprocal habitual (future),oramo, / or.ˈam.o / ,_
auxiliary-form: 2nd reciprocal habitual (past),orame, / or.ˈam.e / ,_
auxiliary-form: 2nd reciprocal habitual (present),orama, / or.ˈam.a / ,_
auxiliary-form: 2nd reciprocal immediate (future),orako, / or.ˈak.o / ,_
auxiliary-form: 2nd reciprocal immediate (past),orake, / or.ˈak.e / ,_
auxiliary-form: 2nd reciprocal immediate (present),oraka, / or.ˈak.a / ,_
auxiliary-form: 2nd reciprocal imperfective (future),oratho, / or.ˈaθ.o / ,_
auxiliary-form: 2nd reciprocal imperfective (past),orathe, / or.ˈaθ.e / ,_
auxiliary-form: 2nd reciprocal imperfective (present),oratha, / or.ˈaθ.a / ,_
auxiliary-form: 2nd reciprocal inceptive (future),orayo, / or.ˈaj.o / ,_
auxiliary-form: 2nd reciprocal inceptive (past),oraye, / or.ˈaj.e / ,_
auxiliary-form: 2nd reciprocal inceptive (present),oraya, / or.ˈaj.a / ,_
auxiliary-form: 2nd reciprocal iterative (future),orano, / or.ˈan.o / ,_
auxiliary-form: 2nd reciprocal iterative (past),orane, / or.ˈan.e / ,_
auxiliary-form: 2nd reciprocal iterative (present),orana, / or.ˈan.a / ,_
auxiliary-form: 2nd reciprocal near (future),oratlo, / or.ˈaƛ.o / ,_
auxiliary-form: 2nd reciprocal near (past),oratle, / or.ˈaƛ.e / ,_
auxiliary-form: 2nd reciprocal near (present),oratla, / or.ˈaƛ.a / ,_
auxiliary-form: 2nd reciprocal perfect (future),oralho, / or.ˈaɬ.o / ,_
auxiliary-form: 2nd reciprocal perfect (past),oralhe, / or.ˈaɬ.e / ,_
auxiliary-form: 2nd reciprocal perfect (present),oralha, / or.ˈaɬ.a / ,_
auxiliary-form: 2nd reciprocal progressive (future),oraso, / or.ˈas.o / ,_
auxiliary-form: 2nd reciprocal progressive (past),orase, / or.ˈas.e / ,_
auxiliary-form: 2nd reciprocal progressive (present),orasa, / or.ˈas.a / ,_
auxiliary-form: 2nd reciprocal remote (future),oraho, / or.ˈah.o / ,_
auxiliary-form: 2nd reciprocal remote (past),orahe, / or.ˈah.e / ,_
auxiliary-form: 2nd reciprocal remote (present),oraha, / or.ˈah.a / ,_
auxiliary-form: 2nd reciprocal simple (future),orafo, / or.ˈaf.o / ,_
auxiliary-form: 2nd reciprocal simple (past),orafe, / or.ˈaf.e / ,_
auxiliary-form: 2nd reciprocal simple (present),orafa, / or.ˈaf.a / ,_
auxiliary-form: 2nd reflexive cessative (future),otepo, / ot.ˈep.o / ,_
auxiliary-form: 2nd reflexive cessative (past),otepe, / ot.ˈep.e / ,_
auxiliary-form: 2nd reflexive cessative (present),otepa, / ot.ˈep.a / ,_
auxiliary-form: 2nd reflexive continuous (future),otesho, / ot.ˈeʃ.o / ,_
auxiliary-form: 2nd reflexive continuous (past),oteshe, / ot.ˈeʃ.e / ,_
auxiliary-form: 2nd reflexive continuous (present),otesha, / ot.ˈeʃ.a / ,_
auxiliary-form: 2nd reflexive habitual (future),otemo, / ot.ˈem.o / ,_
auxiliary-form: 2nd reflexive habitual (past),oteme, / ot.ˈem.e / ,_
auxiliary-form: 2nd reflexive habitual (present),otema, / ot.ˈem.a / ,_
auxiliary-form: 2nd reflexive immediate (future),oteko, / ot.ˈek.o / ,_
auxiliary-form: 2nd reflexive immediate (past),oteke, / ot.ˈek.e / ,_
auxiliary-form: 2nd reflexive immediate (present),oteka, / ot.ˈek.a / ,_
auxiliary-form: 2nd reflexive imperfective (future),otetho, / ot.ˈeθ.o / ,_
auxiliary-form: 2nd reflexive imperfective (past),otethe, / ot.ˈeθ.e / ,_
auxiliary-form: 2nd reflexive imperfective (present),otetha, / ot.ˈeθ.a / ,_
auxiliary-form: 2nd reflexive inceptive (future),oteyo, / ot.ˈej.o / ,_
auxiliary-form: 2nd reflexive inceptive (past),oteye, / ot.ˈej.e / ,_
auxiliary-form: 2nd reflexive inceptive (present),oteya, / ot.ˈej.a / ,_
auxiliary-form: 2nd reflexive iterative (future),oteno, / ot.ˈen.o / ,_
auxiliary-form: 2nd reflexive iterative (past),otene, / ot.ˈen.e / ,_
auxiliary-form: 2nd reflexive iterative (present),otena, / ot.ˈen.a / ,_
auxiliary-form: 2nd reflexive near (future),otetlo, / ot.ˈeƛ.o / ,_
auxiliary-form: 2nd reflexive near (past),otetle, / ot.ˈeƛ.e / ,_
auxiliary-form: 2nd reflexive near (present),otetla, / ot.ˈeƛ.a / ,_
auxiliary-form: 2nd reflexive perfect (future),otelho, / ot.ˈeɬ.o / ,_
auxiliary-form: 2nd reflexive perfect (past),otelhe, / ot.ˈeɬ.e / ,_
auxiliary-form: 2nd reflexive perfect (present),otelha, / ot.ˈeɬ.a / ,_
auxiliary-form: 2nd reflexive progressive (future),oteso, / ot.ˈes.o / ,_
auxiliary-form: 2nd reflexive progressive (past),otese, / ot.ˈes.e / ,_
auxiliary-form: 2nd reflexive progressive (present),otesa, / ot.ˈes.a / ,_
auxiliary-form: 2nd reflexive remote (future),oteho, / ot.ˈeh.o / ,_
auxiliary-form: 2nd reflexive remote (past),otehe, / ot.ˈeh.e / ,_
auxiliary-form: 2nd reflexive remote (present),oteha, / ot.ˈeh.a / ,_
auxiliary-form: 2nd reflexive simple (future),otefo, / ot.ˈef.o / ,_
auxiliary-form: 2nd reflexive simple (past),otefe, / ot.ˈef.e / ,_
auxiliary-form: 2nd reflexive simple (present),otefa, / ot.ˈef.a / ,_
auxiliary-form: 2nd remote (future),oho, / ˈoh.o / ,_
auxiliary-form: 2nd remote (past),ohe, / ˈoh.e / ,_
auxiliary-form: 2nd remote (present),oha, / ˈoh.a / ,_
auxiliary-form: 2nd simple (future),ofo, / ˈof.o / ,_
auxiliary-form: 2nd simple (past),ofe, / ˈof.e / ,_
auxiliary-form: 2nd simple (present),ofa, / ˈof.a / ,_
auxiliary-form: 2nd subjunctive causative cessative (future),owikepo, / ow.ik.ˈep.o / ,_
auxiliary-form: 2nd subjunctive causative cessative (past),owikepe, / ow.ik.ˈep.e / ,_
auxiliary-form: 2nd subjunctive causative cessative (present),owikepa, / ow.ik.ˈep.a / ,_
auxiliary-form: 2nd subjunctive causative continuous (future),owikesho, / ow.ik.ˈeʃ.o / ,_
auxiliary-form: 2nd subjunctive causative continuous (past),owikeshe, / ow.ik.ˈeʃ.e / ,_
auxiliary-form: 2nd subjunctive causative continuous (present),owikesha, / ow.ik.ˈeʃ.a / ,_
auxiliary-form: 2nd subjunctive causative habitual (future),owikemo, / ow.ik.ˈem.o / ,_
auxiliary-form: 2nd subjunctive causative habitual (past),owikeme, / ow.ik.ˈem.e / ,_
auxiliary-form: 2nd subjunctive causative habitual (present),owikema, / ow.ik.ˈem.a / ,_
auxiliary-form: 2nd subjunctive causative immediate (future),owikeko, / ow.ik.ˈek.o / ,_
auxiliary-form: 2nd subjunctive causative immediate (past),owikeke, / ow.ik.ˈek.e / ,_
auxiliary-form: 2nd subjunctive causative immediate (present),owikeka, / ow.ik.ˈek.a / ,_
auxiliary-form: 2nd subjunctive causative imperfective (future),owiketho, / ow.ik.ˈeθ.o / ,_
auxiliary-form: 2nd subjunctive causative imperfective (past),owikethe, / ow.ik.ˈeθ.e / ,_
auxiliary-form: 2nd subjunctive causative imperfective (present),owiketha, / ow.ik.ˈeθ.a / ,_
auxiliary-form: 2nd subjunctive causative inceptive (future),owikeyo, / ow.ik.ˈej.o / ,_
auxiliary-form: 2nd subjunctive causative inceptive (past),owikeye, / ow.ik.ˈej.e / ,_
auxiliary-form: 2nd subjunctive causative inceptive (present),owikeya, / ow.ik.ˈej.a / ,_
auxiliary-form: 2nd subjunctive causative iterative (future),owikeno, / ow.ik.ˈen.o / ,_
auxiliary-form: 2nd subjunctive causative iterative (past),owikene, / ow.ik.ˈen.e / ,_
auxiliary-form: 2nd subjunctive causative iterative (present),owikena, / ow.ik.ˈen.a / ,_
auxiliary-form: 2nd subjunctive causative near (future),owiketlo, / ow.ik.ˈeƛ.o / ,_
auxiliary-form: 2nd subjunctive causative near (past),owiketle, / ow.ik.ˈeƛ.e / ,_
auxiliary-form: 2nd subjunctive causative near (present),owiketla, / ow.ik.ˈeƛ.a / ,_
auxiliary-form: 2nd subjunctive causative perfect (future),owikelho, / ow.ik.ˈeɬ.o / ,_
auxiliary-form: 2nd subjunctive causative perfect (past),owikelhe, / ow.ik.ˈeɬ.e / ,_
auxiliary-form: 2nd subjunctive causative perfect (present),owikelha, / ow.ik.ˈeɬ.a / ,_
auxiliary-form: 2nd subjunctive causative progressive (future),owikeso, / ow.ik.ˈes.o / ,_
auxiliary-form: 2nd subjunctive causative progressive (past),owikese, / ow.ik.ˈes.e / ,_
auxiliary-form: 2nd subjunctive causative progressive (present),owikesa, / ow.ik.ˈes.a / ,_
auxiliary-form: 2nd subjunctive causative remote (future),owikeho, / ow.ik.ˈeh.o / ,_
auxiliary-form: 2nd subjunctive causative remote (past),owikehe, / ow.ik.ˈeh.e / ,_
auxiliary-form: 2nd subjunctive causative remote (present),owikeha, / ow.ik.ˈeh.a / ,_
auxiliary-form: 2nd subjunctive causative simple (future),owikefo, / ow.ik.ˈef.o / ,_
auxiliary-form: 2nd subjunctive causative simple (past),owikefe, / ow.ik.ˈef.e / ,_
auxiliary-form: 2nd subjunctive causative simple (present),owikefa, / ow.ik.ˈef.a / ,_
auxiliary-form: 2nd subjunctive cessative (future),owipo, / ow.ˈip.o / ,_
auxiliary-form: 2nd subjunctive cessative (past),owipe, / ow.ˈip.e / ,_
auxiliary-form: 2nd subjunctive cessative (present),owipa, / ow.ˈip.a / ,_
auxiliary-form: 2nd subjunctive continuous (future),owisho, / ow.ˈiʃ.o / ,_
auxiliary-form: 2nd subjunctive continuous (past),owishe, / ow.ˈiʃ.e / ,_
auxiliary-form: 2nd subjunctive continuous (present),owisha, / ow.ˈiʃ.a / ,_
auxiliary-form: 2nd subjunctive habitual (future),owimo, / ow.ˈim.o / ,_
auxiliary-form: 2nd subjunctive habitual (past),owime, / ow.ˈim.e / ,_
auxiliary-form: 2nd subjunctive habitual (present),owima, / ow.ˈim.a / ,_
auxiliary-form: 2nd subjunctive immediate (future),owiko, / ow.ˈik.o / ,_
auxiliary-form: 2nd subjunctive immediate (past),owike, / ow.ˈik.e / ,_
auxiliary-form: 2nd subjunctive immediate (present),owika, / ow.ˈik.a / ,_
auxiliary-form: 2nd subjunctive imperfective (future),owitho, / ow.ˈiθ.o / ,_
auxiliary-form: 2nd subjunctive imperfective (past),owithe, / ow.ˈiθ.e / ,_
auxiliary-form: 2nd subjunctive imperfective (present),owitha, / ow.ˈiθ.a / ,_
auxiliary-form: 2nd subjunctive inceptive (future),owiyo, / ow.ˈij.o / ,_
auxiliary-form: 2nd subjunctive inceptive (past),owiye, / ow.ˈij.e / ,_
auxiliary-form: 2nd subjunctive inceptive (present),owiya, / ow.ˈij.a / ,_
auxiliary-form: 2nd subjunctive iterative (future),owino, / ow.ˈin.o / ,_
auxiliary-form: 2nd subjunctive iterative (past),owine, / ow.ˈin.e / ,_
auxiliary-form: 2nd subjunctive iterative (present),owina, / ow.ˈin.a / ,_
auxiliary-form: 2nd subjunctive middle cessative (future),owimopo, / ow.im.ˈop.o / ,_
auxiliary-form: 2nd subjunctive middle cessative (past),owimope, / ow.im.ˈop.e / ,_
auxiliary-form: 2nd subjunctive middle cessative (present),owimopa, / ow.im.ˈop.a / ,_
auxiliary-form: 2nd subjunctive middle continuous (future),owimosho, / ow.im.ˈoʃ.o / ,_
auxiliary-form: 2nd subjunctive middle continuous (past),owimoshe, / ow.im.ˈoʃ.e / ,_
auxiliary-form: 2nd subjunctive middle continuous (present),owimosha, / ow.im.ˈoʃ.a / ,_
auxiliary-form: 2nd subjunctive middle habitual (future),owimomo, / ow.im.ˈom.o / ,_
auxiliary-form: 2nd subjunctive middle habitual (past),owimome, / ow.im.ˈom.e / ,_
auxiliary-form: 2nd subjunctive middle habitual (present),owimoma, / ow.im.ˈom.a / ,_
auxiliary-form: 2nd subjunctive middle immediate (future),owimoko, / ow.im.ˈok.o / ,_
auxiliary-form: 2nd subjunctive middle immediate (past),owimoke, / ow.im.ˈok.e / ,_
auxiliary-form: 2nd subjunctive middle immediate (present),owimoka, / ow.im.ˈok.a / ,_
auxiliary-form: 2nd subjunctive middle imperfective (future),owimotho, / ow.im.ˈoθ.o / ,_
auxiliary-form: 2nd subjunctive middle imperfective (past),owimothe, / ow.im.ˈoθ.e / ,_
auxiliary-form: 2nd subjunctive middle imperfective (present),owimotha, / ow.im.ˈoθ.a / ,_
auxiliary-form: 2nd subjunctive middle inceptive (future),owimoyo, / ow.im.ˈoj.o / ,_
auxiliary-form: 2nd subjunctive middle inceptive (past),owimoye, / ow.im.ˈoj.e / ,_
auxiliary-form: 2nd subjunctive middle inceptive (present),owimoya, / ow.im.ˈoj.a / ,_
auxiliary-form: 2nd subjunctive middle iterative (future),owimono, / ow.im.ˈon.o / ,_
auxiliary-form: 2nd subjunctive middle iterative (past),owimone, / ow.im.ˈon.e / ,_
auxiliary-form: 2nd subjunctive middle iterative (present),owimona, / ow.im.ˈon.a / ,_
auxiliary-form: 2nd subjunctive middle near (future),owimotlo, / ow.im.ˈoƛ.o / ,_
auxiliary-form: 2nd subjunctive middle near (past),owimotle, / ow.im.ˈoƛ.e / ,_
auxiliary-form: 2nd subjunctive middle near (present),owimotla, / ow.im.ˈoƛ.a / ,_
auxiliary-form: 2nd subjunctive middle perfect (future),owimolho, / ow.im.ˈoɬ.o / ,_
auxiliary-form: 2nd subjunctive middle perfect (past),owimolhe, / ow.im.ˈoɬ.e / ,_
auxiliary-form: 2nd subjunctive middle perfect (present),owimolha, / ow.im.ˈoɬ.a / ,_
auxiliary-form: 2nd subjunctive middle progressive (future),owimoso, / ow.im.ˈos.o / ,_
auxiliary-form: 2nd subjunctive middle progressive (past),owimose, / ow.im.ˈos.e / ,_
auxiliary-form: 2nd subjunctive middle progressive (present),owimosa, / ow.im.ˈos.a / ,_
auxiliary-form: 2nd subjunctive middle remote (future),owimoho, / ow.im.ˈoh.o / ,_
auxiliary-form: 2nd subjunctive middle remote (past),owimohe, / ow.im.ˈoh.e / ,_
auxiliary-form: 2nd subjunctive middle remote (present),owimoha, / ow.im.ˈoh.a / ,_
auxiliary-form: 2nd subjunctive middle simple (future),owimofo, / ow.im.ˈof.o / ,_
auxiliary-form: 2nd subjunctive middle simple (past),owimofe, / ow.im.ˈof.e / ,_
auxiliary-form: 2nd subjunctive middle simple (present),owimofa, / ow.im.ˈof.a / ,_
auxiliary-form: 2nd subjunctive near (future),owitlo, / ow.ˈiƛ.o / ,_
auxiliary-form: 2nd subjunctive near (past),owitle, / ow.ˈiƛ.e / ,_
auxiliary-form: 2nd subjunctive near (present),owitla, / ow.ˈiƛ.a / ,_
auxiliary-form: 2nd subjunctive passive cessative (future),owipapo, / ow.ip.ˈap.o / ,_
auxiliary-form: 2nd subjunctive passive cessative (past),owipape, / ow.ip.ˈap.e / ,_
auxiliary-form: 2nd subjunctive passive cessative (present),owipapa, / ow.ip.ˈap.a / ,_
auxiliary-form: 2nd subjunctive passive continuous (future),owipasho, / ow.ip.ˈaʃ.o / ,_
auxiliary-form: 2nd subjunctive passive continuous (past),owipashe, / ow.ip.ˈaʃ.e / ,_
auxiliary-form: 2nd subjunctive passive continuous (present),owipasha, / ow.ip.ˈaʃ.a / ,_
auxiliary-form: 2nd subjunctive passive habitual (future),owipamo, / ow.ip.ˈam.o / ,_
auxiliary-form: 2nd subjunctive passive habitual (past),owipame, / ow.ip.ˈam.e / ,_
auxiliary-form: 2nd subjunctive passive habitual (present),owipama, / ow.ip.ˈam.a / ,_
auxiliary-form: 2nd subjunctive passive immediate (future),owipako, / ow.ip.ˈak.o / ,_
auxiliary-form: 2nd subjunctive passive immediate (past),owipake, / ow.ip.ˈak.e / ,_
auxiliary-form: 2nd subjunctive passive immediate (present),owipaka, / ow.ip.ˈak.a / ,_
auxiliary-form: 2nd subjunctive passive imperfective (future),owipatho, / ow.ip.ˈaθ.o / ,_
auxiliary-form: 2nd subjunctive passive imperfective (past),owipathe, / ow.ip.ˈaθ.e / ,_
auxiliary-form: 2nd subjunctive passive imperfective (present),owipatha, / ow.ip.ˈaθ.a / ,_
auxiliary-form: 2nd subjunctive passive inceptive (future),owipayo, / ow.ip.ˈaj.o / ,_
auxiliary-form: 2nd subjunctive passive inceptive (past),owipaye, / ow.ip.ˈaj.e / ,_
auxiliary-form: 2nd subjunctive passive inceptive (present),owipaya, / ow.ip.ˈaj.a / ,_
auxiliary-form: 2nd subjunctive passive iterative (future),owipano, / ow.ip.ˈan.o / ,_
auxiliary-form: 2nd subjunctive passive iterative (past),owipane, / ow.ip.ˈan.e / ,_
auxiliary-form: 2nd subjunctive passive iterative (present),owipana, / ow.ip.ˈan.a / ,_
auxiliary-form: 2nd subjunctive passive near (future),owipatlo, / ow.ip.ˈaƛ.o / ,_
auxiliary-form: 2nd subjunctive passive near (past),owipatle, / ow.ip.ˈaƛ.e / ,_
auxiliary-form: 2nd subjunctive passive near (present),owipatla, / ow.ip.ˈaƛ.a / ,_
auxiliary-form: 2nd subjunctive passive perfect (future),owipalho, / ow.ip.ˈaɬ.o / ,_
auxiliary-form: 2nd subjunctive passive perfect (past),owipalhe, / ow.ip.ˈaɬ.e / ,_
auxiliary-form: 2nd subjunctive passive perfect (present),owipalha, / ow.ip.ˈaɬ.a / ,_
auxiliary-form: 2nd subjunctive passive progressive (future),owipaso, / ow.ip.ˈas.o / ,_
auxiliary-form: 2nd subjunctive passive progressive (past),owipase, / ow.ip.ˈas.e / ,_
auxiliary-form: 2nd subjunctive passive progressive (present),owipasa, / ow.ip.ˈas.a / ,_
auxiliary-form: 2nd subjunctive passive remote (future),owipaho, / ow.ip.ˈah.o / ,_
auxiliary-form: 2nd subjunctive passive remote (past),owipahe, / ow.ip.ˈah.e / ,_
auxiliary-form: 2nd subjunctive passive remote (present),owipaha, / ow.ip.ˈah.a / ,_
auxiliary-form: 2nd subjunctive passive simple (future),owipafo, / ow.ip.ˈaf.o / ,_
auxiliary-form: 2nd subjunctive passive simple (past),owipafe, / ow.ip.ˈaf.e / ,_
auxiliary-form: 2nd subjunctive passive simple (present),owipafa, / ow.ip.ˈaf.a / ,_
auxiliary-form: 2nd subjunctive perfect (future),owilho, / ow.ˈiɬ.o / ,_
auxiliary-form: 2nd subjunctive perfect (past),owilhe, / ow.ˈiɬ.e / ,_
auxiliary-form: 2nd subjunctive perfect (present),owilha, / ow.ˈiɬ.a / ,_
auxiliary-form: 2nd subjunctive progressive (future),owiso, / ow.ˈis.o / ,_
auxiliary-form: 2nd subjunctive progressive (past),owise, / ow.ˈis.e / ,_
auxiliary-form: 2nd subjunctive progressive (present),owisa, / ow.ˈis.a / ,_
auxiliary-form: 2nd subjunctive reciprocal cessative (future),owirapo, / ow.ir.ˈap.o / ,_
auxiliary-form: 2nd subjunctive reciprocal cessative (past),owirape, / ow.ir.ˈap.e / ,_
auxiliary-form: 2nd subjunctive reciprocal cessative (present),owirapa, / ow.ir.ˈap.a / ,_
auxiliary-form: 2nd subjunctive reciprocal continuous (future),owirasho, / ow.ir.ˈaʃ.o / ,_
auxiliary-form: 2nd subjunctive reciprocal continuous (past),owirashe, / ow.ir.ˈaʃ.e / ,_
auxiliary-form: 2nd subjunctive reciprocal continuous (present),owirasha, / ow.ir.ˈaʃ.a / ,_
auxiliary-form: 2nd subjunctive reciprocal habitual (future),owiramo, / ow.ir.ˈam.o / ,_
auxiliary-form: 2nd subjunctive reciprocal habitual (past),owirame, / ow.ir.ˈam.e / ,_
auxiliary-form: 2nd subjunctive reciprocal habitual (present),owirama, / ow.ir.ˈam.a / ,_
auxiliary-form: 2nd subjunctive reciprocal immediate (future),owirako, / ow.ir.ˈak.o / ,_
auxiliary-form: 2nd subjunctive reciprocal immediate (past),owirake, / ow.ir.ˈak.e / ,_
auxiliary-form: 2nd subjunctive reciprocal immediate (present),owiraka, / ow.ir.ˈak.a / ,_
auxiliary-form: 2nd subjunctive reciprocal imperfective (future),owiratho, / ow.ir.ˈaθ.o / ,_
