english,tovian,tovian_ipa,gloss
aux_2_obl_nea_pst,otlotle,oƛ.ˈoƛ.e,auxiliary-form: 2nd obligative near (past)
aux_2_obl_nea_prs,otlotla,oƛ.ˈoƛ.a,auxiliary-form: 2nd obligative near (present)
aux_2_obl_nea_fut,otlotlo,oƛ.ˈoƛ.o,auxiliary-form: 2nd obligative near (future)
aux_2_obl_imm_pst,otloke,oƛ.ˈok.e,auxiliary-form: 2nd obligative immediate (past)
aux_2_obl_imm_prs,otloka,oƛ.ˈok.a,auxiliary-form: 2nd obligative immediate (present)
aux_2_obl_imm_fut,otloko,oƛ.ˈok.o,auxiliary-form: 2nd obligative immediate (future)
aux_2_obl_hab_pst,otlome,oƛ.ˈom.e,auxiliary-form: 2nd obligative habitual (past)
aux_2_obl_hab_prs,otloma,oƛ.ˈom.a,auxiliary-form: 2nd obligative habitual (present)
aux_2_obl_hab_fut,otlomo,oƛ.ˈom.o,auxiliary-form: 2nd obligative habitual (future)
aux_2_obl_pro_pst,otlose,oƛ.ˈos.e,auxiliary-form: 2nd obligative progressive (past)
aux_2_obl_pro_prs,otlosa,oƛ.ˈos.a,auxiliary-form: 2nd obligative progressive (present)
aux_2_obl_pro_fut,otloso,oƛ.ˈos.o,auxiliary-form: 2nd obligative progressive (future)
aux_2_obl_cnt_pst,otloshe,oƛ.ˈoʃ.e,auxiliary-form: 2nd obligative continuous (past)
aux_2_obl_cnt_prs,otlosha,oƛ.ˈoʃ.a,auxiliary-form: 2nd obligative continuous (present)
aux_2_obl_cnt_fut,otlosho,oƛ.ˈoʃ.o,auxiliary-form: 2nd obligative continuous (future)
aux_2_obl_itr_pst,otlone,oƛ.ˈon.e,auxiliary-form: 2nd obligative iterative (past)
aux_2_obl_itr_prs,otlona,oƛ.ˈon.a,auxiliary-form: 2nd obligative iterative (present)
aux_2_obl_itr_fut,otlono,oƛ.ˈon.o,auxiliary-form: 2nd obligative iterative (future)
aux_2_obl_inc_pst,otloye,oƛ.ˈoj.e,auxiliary-form: 2nd obligative inceptive (past)
aux_2_obl_inc_prs,otloya,oƛ.ˈoj.a,auxiliary-form: 2nd obligative inceptive (present)
aux_2_obl_inc_fut,otloyo,oƛ.ˈoj.o,auxiliary-form: 2nd obligative inceptive (future)
aux_2_obl_ces_pst,otlope,oƛ.ˈop.e,auxiliary-form: 2nd obligative cessative (past)
aux_2_obl_ces_prs,otlopa,oƛ.ˈop.a,auxiliary-form: 2nd obligative cessative (present)
aux_2_obl_ces_fut,otlopo,oƛ.ˈop.o,auxiliary-form: 2nd obligative cessative (future)
aux_2_obl_rem_pst,otlohe,oƛ.ˈoh.e,auxiliary-form: 2nd obligative remote (past)
aux_2_obl_rem_prs,otloha,oƛ.ˈoh.a,auxiliary-form: 2nd obligative remote (present)
aux_2_obl_rem_fut,otloho,oƛ.ˈoh.o,auxiliary-form: 2nd obligative remote (future)
aux_2_obl_ref_sim_pst,otlotefe,oƛ.ot.ˈef.e,auxiliary-form: 2nd obligative reflexive simple (past)
aux_2_obl_ref_sim_prs,otlotefa,oƛ.ot.ˈef.a,auxiliary-form: 2nd obligative reflexive simple (present)
aux_2_obl_ref_sim_fut,otlotefo,oƛ.ot.ˈef.o,auxiliary-form: 2nd obligative reflexive simple (future)
aux_2_obl_ref_ipf_pst,otlotethe,oƛ.ot.ˈeθ.e,auxiliary-form: 2nd obligative reflexive imperfective (past)
aux_2_obl_ref_ipf_prs,otlotetha,oƛ.ot.ˈeθ.a,auxiliary-form: 2nd obligative reflexive imperfective (present)
aux_2_obl_ref_ipf_fut,otlotetho,oƛ.ot.ˈeθ.o,auxiliary-form: 2nd obligative reflexive imperfective (future)
aux_2_obl_ref_prf_pst,otlotelhe,oƛ.ot.ˈeɬ.e,auxiliary-form: 2nd obligative reflexive perfect (past)
aux_2_obl_ref_prf_prs,otlotelha,oƛ.ot.ˈeɬ.a,auxiliary-form: 2nd obligative reflexive perfect (present)
aux_2_obl_ref_prf_fut,otlotelho,oƛ.ot.ˈeɬ.o,auxiliary-form: 2nd obligative reflexive perfect (future)
aux_2_obl_ref_nea_pst,otlotetle,oƛ.ot.ˈeƛ.e,auxiliary-form: 2nd obligative reflexive near (past)
aux_2_obl_ref_nea_prs,otlotetla,oƛ.ot.ˈeƛ.a,auxiliary-form: 2nd obligative reflexive near (present)
aux_2_obl_ref_nea_fut,otlotetlo,oƛ.ot.ˈeƛ.o,auxiliary-form: 2nd obligative reflexive near (future)
aux_2_obl_ref_imm_pst,otloteke,oƛ.ot.ˈek.e,auxiliary-form: 2nd obligative reflexive immediate (past)
aux_2_obl_ref_imm_prs,otloteka,oƛ.ot.ˈek.a,auxiliary-form: 2nd obligative reflexive immediate (present)
aux_2_obl_ref_imm_fut,otloteko,oƛ.ot.ˈek.o,auxiliary-form: 2nd obligative reflexive immediate (future)
aux_2_obl_ref_hab_pst,otloteme,oƛ.ot.ˈem.e,auxiliary-form: 2nd obligative reflexive habitual (past)
aux_2_obl_ref_hab_prs,otlotema,oƛ.ot.ˈem.a,auxiliary-form: 2nd obligative reflexive habitual (present)
aux_2_obl_ref_hab_fut,otlotemo,oƛ.ot.ˈem.o,auxiliary-form: 2nd obligative reflexive habitual (future)
aux_2_obl_ref_pro_pst,otlotese,oƛ.ot.ˈes.e,auxiliary-form: 2nd obligative reflexive progressive (past)
aux_2_obl_ref_pro_prs,otlotesa,oƛ.ot.ˈes.a,auxiliary-form: 2nd obligative reflexive progressive (present)
aux_2_obl_ref_pro_fut,otloteso,oƛ.ot.ˈes.o,auxiliary-form: 2nd obligative reflexive progressive (future)
aux_2_obl_ref_cnt_pst,otloteshe,oƛ.ot.ˈeʃ.e,auxiliary-form: 2nd obligative reflexive continuous (past)
aux_2_obl_ref_cnt_prs,otlotesha,oƛ.ot.ˈeʃ.a,auxiliary-form: 2nd obligative reflexive continuous (present)
aux_2_obl_ref_cnt_fut,otlotesho,oƛ.ot.ˈeʃ.o,auxiliary-form: 2nd obligative reflexive continuous (future)
aux_2_obl_ref_itr_pst,otlotene,oƛ.ot.ˈen.e,auxiliary-form: 2nd obligative reflexive iterative (past)
aux_2_obl_ref_itr_prs,otlotena,oƛ.ot.ˈen.a,auxiliary-form: 2nd obligative reflexive iterative (present)
aux_2_obl_ref_itr_fut,otloteno,oƛ.ot.ˈen.o,auxiliary-form: 2nd obligative reflexive iterative (future)
aux_2_obl_ref_inc_pst,otloteye,oƛ.ot.ˈej.e,auxiliary-form: 2nd obligative reflexive inceptive (past)
aux_2_obl_ref_inc_prs,otloteya,oƛ.ot.ˈej.a,auxiliary-form: 2nd obligative reflexive inceptive (present)
aux_2_obl_ref_inc_fut,otloteyo,oƛ.ot.ˈej.o,auxiliary-form: 2nd obligative reflexive inceptive (future)
aux_2_obl_ref_ces_pst,otlotepe,oƛ.ot.ˈep.e,auxiliary-form: 2nd obligative reflexive cessative (past)
aux_2_obl_ref_ces_prs,otlotepa,oƛ.ot.ˈep.a,auxiliary-form: 2nd obligative reflexive cessative (present)
aux_2_obl_ref_ces_fut,otlotepo,oƛ.ot.ˈep.o,auxiliary-form: 2nd obligative reflexive cessative (future)
aux_2_obl_ref_rem_pst,otlotehe,oƛ.ot.ˈeh.e,auxiliary-form: 2nd obligative reflexive remote (past)
aux_2_obl_ref_rem_prs,otloteha,oƛ.ot.ˈeh.a,auxiliary-form: 2nd obligative reflexive remote (present)
aux_2_obl_ref_rem_fut,otloteho,oƛ.ot.ˈeh.o,auxiliary-form: 2nd obligative reflexive remote (future)
aux_2_obl_pas_sim_pst,otlopafe,oƛ.op.ˈaf.e,auxiliary-form: 2nd obligative passive simple (past)
aux_2_obl_pas_sim_prs,otlopafa,oƛ.op.ˈaf.a,auxiliary-form: 2nd obligative passive simple (present)
aux_2_obl_pas_sim_fut,otlopafo,oƛ.op.ˈaf.o,auxiliary-form: 2nd obligative passive simple (future)
aux_2_obl_pas_ipf_pst,otlopathe,oƛ.op.ˈaθ.e,auxiliary-form: 2nd obligative passive imperfective (past)
aux_2_obl_pas_ipf_prs,otlopatha,oƛ.op.ˈaθ.a,auxiliary-form: 2nd obligative passive imperfective (present)
aux_2_obl_pas_ipf_fut,otlopatho,oƛ.op.ˈaθ.o,auxiliary-form: 2nd obligative passive imperfective (future)
aux_2_obl_pas_prf_pst,otlopalhe,oƛ.op.ˈaɬ.e,auxiliary-form: 2nd obligative passive perfect (past)
aux_2_obl_pas_prf_prs,otlopalha,oƛ.op.ˈaɬ.a,auxiliary-form: 2nd obligative passive perfect (present)
aux_2_obl_pas_prf_fut,otlopalho,oƛ.op.ˈaɬ.o,auxiliary-form: 2nd obligative passive perfect (future)
aux_2_obl_pas_nea_pst,otlopatle,oƛ.op.ˈaƛ.e,auxiliary-form: 2nd obligative passive near (past)
aux_2_obl_pas_nea_prs,otlopatla,oƛ.op.ˈaƛ.a,auxiliary-form: 2nd obligative passive near (present)
aux_2_obl_pas_nea_fut,otlopatlo,oƛ.op.ˈaƛ.o,auxiliary-form: 2nd obligative passive near (future)
aux_2_obl_pas_imm_pst,otlopake,oƛ.op.ˈak.e,auxiliary-form: 2nd obligative passive immediate (past)
aux_2_obl_pas_imm_prs,otlopaka,oƛ.op.ˈak.a,auxiliary-form: 2nd obligative passive immediate (present)
aux_2_obl_pas_imm_fut,otlopako,oƛ.op.ˈak.o,auxiliary-form: 2nd obligative passive immediate (future)
aux_2_obl_pas_hab_pst,otlopame,oƛ.op.ˈam.e,auxiliary-form: 2nd obligative passive habitual (past)
aux_2_obl_pas_hab_prs,otlopama,oƛ.op.ˈam.a,auxiliary-form: 2nd obligative passive habitual (present)
aux_2_obl_pas_hab_fut,otlopamo,oƛ.op.ˈam.o,auxiliary-form: 2nd obligative passive habitual (future)
aux_2_obl_pas_pro_pst,otlopase,oƛ.op.ˈas.e,auxiliary-form: 2nd obligative passive progressive (past)
aux_2_obl_pas_pro_prs,otlopasa,oƛ.op.ˈas.a,auxiliary-form: 2nd obligative passive progressive (present)
aux_2_obl_pas_pro_fut,otlopaso,oƛ.op.ˈas.o,auxiliary-form: 2nd obligative passive progressive (future)
aux_2_obl_pas_cnt_pst,otlopashe,oƛ.op.ˈaʃ.e,auxiliary-form: 2nd obligative passive continuous (past)
aux_2_obl_pas_cnt_prs,otlopasha,oƛ.op.ˈaʃ.a,auxiliary-form: 2nd obligative passive continuous (present)
aux_2_obl_pas_cnt_fut,otlopasho,oƛ.op.ˈaʃ.o,auxiliary-form: 2nd obligative passive continuous (future)
aux_2_obl_pas_itr_pst,otlopane,oƛ.op.ˈan.e,auxiliary-form: 2nd obligative passive iterative (past)
aux_2_obl_pas_itr_prs,otlopana,oƛ.op.ˈan.a,auxiliary-form: 2nd obligative passive iterative (present)
aux_2_obl_pas_itr_fut,otlopano,oƛ.op.ˈan.o,auxiliary-form: 2nd obligative passive iterative (future)
aux_2_obl_pas_inc_pst,otlopaye,oƛ.op.ˈaj.e,auxiliary-form: 2nd obligative passive inceptive (past)
aux_2_obl_pas_inc_prs,otlopaya,oƛ.op.ˈaj.a,auxiliary-form: 2nd obligative passive inceptive (present)
aux_2_obl_pas_inc_fut,otlopayo,oƛ.op.ˈaj.o,auxiliary-form: 2nd obligative passive inceptive (future)
aux_2_obl_pas_ces_pst,otlopape,oƛ.op.ˈap.e,auxiliary-form: 2nd obligative passive cessative (past)
aux_2_obl_pas_ces_prs,otlopapa,oƛ.op.ˈap.a,auxiliary-form: 2nd obligative passive cessative (present)
aux_2_obl_pas_ces_fut,otlopapo,oƛ.op.ˈap.o,auxiliary-form: 2nd obligative passive cessative (future)
aux_2_obl_pas_rem_pst,otlopahe,oƛ.op.ˈah.e,auxiliary-form: 2nd obligative passive remote (past)
aux_2_obl_pas_rem_prs,otlopaha,oƛ.op.ˈah.a,auxiliary-form: 2nd obligative passive remote (present)
aux_2_obl_pas_rem_fut,otlopaho,oƛ.op.ˈah.o,auxiliary-form: 2nd obligative passive remote (future)
aux_2_obl_mid_sim_pst,otlomofe,oƛ.om.ˈof.e,auxiliary-form: 2nd obligative middle simple (past)
aux_2_obl_mid_sim_prs,otlomofa,oƛ.om.ˈof.a,auxiliary-form: 2nd obligative middle simple (present)
aux_2_obl_mid_sim_fut,otlomofo,oƛ.om.ˈof.o,auxiliary-form: 2nd obligative middle simple (future)
aux_2_obl_mid_ipf_pst,otlomothe,oƛ.om.ˈoθ.e,auxiliary-form: 2nd obligative middle imperfective (past)
aux_2_obl_mid_ipf_prs,otlomotha,oƛ.om.ˈoθ.a,auxiliary-form: 2nd obligative middle imperfective (present)
aux_2_obl_mid_ipf_fut,otlomotho,oƛ.om.ˈoθ.o,auxiliary-form: 2nd obligative middle imperfective (future)
aux_2_obl_mid_prf_pst,otlomolhe,oƛ.om.ˈoɬ.e,auxiliary-form: 2nd obligative middle perfect (past)
aux_2_obl_mid_prf_prs,otlomolha,oƛ.om.ˈoɬ.a,auxiliary-form: 2nd obligative middle perfect (present)
aux_2_obl_mid_prf_fut,otlomolho,oƛ.om.ˈoɬ.o,auxiliary-form: 2nd obligative middle perfect (future)
aux_2_obl_mid_nea_pst,otlomotle,oƛ.om.ˈoƛ.e,auxiliary-form: 2nd obligative middle near (past)
aux_2_obl_mid_nea_prs,otlomotla,oƛ.om.ˈoƛ.a,auxiliary-form: 2nd obligative middle near (present)
aux_2_obl_mid_nea_fut,otlomotlo,oƛ.om.ˈoƛ.o,auxiliary-form: 2nd obligative middle near (future)
aux_2_obl_mid_imm_pst,otlomoke,oƛ.om.ˈok.e,auxiliary-form: 2nd obligative middle immediate (past)
aux_2_obl_mid_imm_prs,otlomoka,oƛ.om.ˈok.a,auxiliary-form: 2nd obligative middle immediate (present)
aux_2_obl_mid_imm_fut,otlomoko,oƛ.om.ˈok.o,auxiliary-form: 2nd obligative middle immediate (future)
aux_2_obl_mid_hab_pst,otlomome,oƛ.om.ˈom.e,auxiliary-form: 2nd obligative middle habitual (past)
aux_2_obl_mid_hab_prs,otlomoma,oƛ.om.ˈom.a,auxiliary-form: 2nd obligative middle habitual (present)
aux_2_obl_mid_hab_fut,otlomomo,oƛ.om.ˈom.o,auxiliary-form: 2nd obligative middle habitual (future)
aux_2_obl_mid_pro_pst,otlomose,oƛ.om.ˈos.e,auxiliary-form: 2nd obligative middle progressive (past)
aux_2_obl_mid_pro_prs,otlomosa,oƛ.om.ˈos.a,auxiliary-form: 2nd obligative middle progressive (present)
aux_2_obl_mid_pro_fut,otlomoso,oƛ.om.ˈos.o,auxiliary-form: 2nd obligative middle progressive (future)
aux_2_obl_mid_cnt_pst,otlomoshe,oƛ.om.ˈoʃ.e,auxiliary-form: 2nd obligative middle continuous (past)
aux_2_obl_mid_cnt_prs,otlomosha,oƛ.om.ˈoʃ.a,auxiliary-form: 2nd obligative middle continuous (present)
aux_2_obl_mid_cnt_fut,otlomosho,oƛ.om.ˈoʃ.o,auxiliary-form: 2nd obligative middle continuous (future)
aux_2_obl_mid_itr_pst,otlomone,oƛ.om.ˈon.e,auxiliary-form: 2nd obligative middle iterative (past)
aux_2_obl_mid_itr_prs,otlomona,oƛ.om.ˈon.a,auxiliary-form: 2nd obligative middle iterative (present)
aux_2_obl_mid_itr_fut,otlomono,oƛ.om.ˈon.o,auxiliary-form: 2nd obligative middle iterative (future)
aux_2_obl_mid_inc_pst,otlomoye,oƛ.om.ˈoj.e,auxiliary-form: 2nd obligative middle inceptive (past)
aux_2_obl_mid_inc_prs,otlomoya,oƛ.om.ˈoj.a,auxiliary-form: 2nd obligative middle inceptive (present)
aux_2_obl_mid_inc_fut,otlomoyo,oƛ.om.ˈoj.o,auxiliary-form: 2nd obligative middle inceptive (future)
aux_2_obl_mid_ces_pst,otlomope,oƛ.om.ˈop.e,auxiliary-form: 2nd obligative middle cessative (past)
aux_2_obl_mid_ces_prs,otlomopa,oƛ.om.ˈop.a,auxiliary-form: 2nd obligative middle cessative (present)
aux_2_obl_mid_ces_fut,otlomopo,oƛ.om.ˈop.o,auxiliary-form: 2nd obligative middle cessative (future)
aux_2_obl_mid_rem_pst,otlomohe,oƛ.om.ˈoh.e,auxiliary-form: 2nd obligative middle remote (past)
aux_2_obl_mid_rem_prs,otlomoha,oƛ.om.ˈoh.a,auxiliary-form: 2nd obligative middle remote (present)
aux_2_obl_mid_rem_fut,otlomoho,oƛ.om.ˈoh.o,auxiliary-form: 2nd obligative middle remote (future)
aux_2_obl_cau_sim_pst,otlokefe,oƛ.ok.ˈef.e,auxiliary-form: 2nd obligative causative simple (past)
aux_2_obl_cau_sim_prs,otlokefa,oƛ.ok.ˈef.a,auxiliary-form: 2nd obligative causative simple (present)
aux_2_obl_cau_sim_fut,otlokefo,oƛ.ok.ˈef.o,auxiliary-form: 2nd obligative causative simple (future)
aux_2_obl_cau_ipf_pst,otlokethe,oƛ.ok.ˈeθ.e,auxiliary-form: 2nd obligative causative imperfective (past)
aux_2_obl_cau_ipf_prs,otloketha,oƛ.ok.ˈeθ.a,auxiliary-form: 2nd obligative causative imperfective (present)
aux_2_obl_cau_ipf_fut,otloketho,oƛ.ok.ˈeθ.o,auxiliary-form: 2nd obligative causative imperfective (future)
aux_2_obl_cau_prf_pst,otlokelhe,oƛ.ok.ˈeɬ.e,auxiliary-form: 2nd obligative causative perfect (past)
aux_2_obl_cau_prf_prs,otlokelha,oƛ.ok.ˈeɬ.a,auxiliary-form: 2nd obligative causative perfect (present)
aux_2_obl_cau_prf_fut,otlokelho,oƛ.ok.ˈeɬ.o,auxiliary-form: 2nd obligative causative perfect (future)
aux_2_obl_cau_nea_pst,otloketle,oƛ.ok.ˈeƛ.e,auxiliary-form: 2nd obligative causative near (past)
aux_2_obl_cau_nea_prs,otloketla,oƛ.ok.ˈeƛ.a,auxiliary-form: 2nd obligative causative near (present)
aux_2_obl_cau_nea_fut,otloketlo,oƛ.ok.ˈeƛ.o,auxiliary-form: 2nd obligative causative near (future)
aux_2_obl_cau_imm_pst,otlokeke,oƛ.ok.ˈek.e,auxiliary-form: 2nd obligative causative immediate (past)
aux_2_obl_cau_imm_prs,otlokeka,oƛ.ok.ˈek.a,auxiliary-form: 2nd obligative causative immediate (present)
aux_2_obl_cau_imm_fut,otlokeko,oƛ.ok.ˈek.o,auxiliary-form: 2nd obligative causative immediate (future)
aux_2_obl_cau_hab_pst,otlokeme,oƛ.ok.ˈem.e,auxiliary-form: 2nd obligative causative habitual (past)
aux_2_obl_cau_hab_prs,otlokema,oƛ.ok.ˈem.a,auxiliary-form: 2nd obligative causative habitual (present)
aux_2_obl_cau_hab_fut,otlokemo,oƛ.ok.ˈem.o,auxiliary-form: 2nd obligative causative habitual (future)
aux_2_obl_cau_pro_pst,otlokese,oƛ.ok.ˈes.e,auxiliary-form: 2nd obligative causative progressive (past)
aux_2_obl_cau_pro_prs,otlokesa,oƛ.ok.ˈes.a,auxiliary-form: 2nd obligative causative progressive (present)
aux_2_obl_cau_pro_fut,otlokeso,oƛ.ok.ˈes.o,auxiliary-form: 2nd obligative causative progressive (future)
aux_2_obl_cau_cnt_pst,otlokeshe,oƛ.ok.ˈeʃ.e,auxiliary-form: 2nd obligative causative continuous (past)
aux_2_obl_cau_cnt_prs,otlokesha,oƛ.ok.ˈeʃ.a,auxiliary-form: 2nd obligative causative continuous (present)
aux_2_obl_cau_cnt_fut,otlokesho,oƛ.ok.ˈeʃ.o,auxiliary-form: 2nd obligative causative continuous (future)
aux_2_obl_cau_itr_pst,otlokene,oƛ.ok.ˈen.e,auxiliary-form: 2nd obligative causative iterative (past)
aux_2_obl_cau_itr_prs,otlokena,oƛ.ok.ˈen.a,auxiliary-form: 2nd obligative causative iterative (present)
aux_2_obl_cau_itr_fut,otlokeno,oƛ.ok.ˈen.o,auxiliary-form: 2nd obligative causative iterative (future)
aux_2_obl_cau_inc_pst,otlokeye,oƛ.ok.ˈej.e,auxiliary-form: 2nd obligative causative inceptive (past)
aux_2_obl_cau_inc_prs,otlokeya,oƛ.ok.ˈej.a,auxiliary-form: 2nd obligative causative inceptive (present)
aux_2_obl_cau_inc_fut,otlokeyo,oƛ.ok.ˈej.o,auxiliary-form: 2nd obligative causative inceptive (future)
aux_2_obl_cau_ces_pst,otlokepe,oƛ.ok.ˈep.e,auxiliary-form: 2nd obligative causative cessative (past)
aux_2_obl_cau_ces_prs,otlokepa,oƛ.ok.ˈep.a,auxiliary-form: 2nd obligative causative cessative (present)
aux_2_obl_cau_ces_fut,otlokepo,oƛ.ok.ˈep.o,auxiliary-form: 2nd obligative causative cessative (future)
aux_2_obl_cau_rem_pst,otlokehe,oƛ.ok.ˈeh.e,auxiliary-form: 2nd obligative causative remote (past)
aux_2_obl_cau_rem_prs,otlokeha,oƛ.ok.ˈeh.a,auxiliary-form: 2nd obligative causative remote (present)
aux_2_obl_cau_rem_fut,otlokeho,oƛ.ok.ˈeh.o,auxiliary-form: 2nd obligative causative remote (future)
aux_2_obl_rec_sim_pst,otlorafe,oƛ.or.ˈaf.e,auxiliary-form: 2nd obligative reciprocal simple (past)
aux_2_obl_rec_sim_prs,otlorafa,oƛ.or.ˈaf.a,auxiliary-form: 2nd obligative reciprocal simple (present)
aux_2_obl_rec_sim_fut,otlorafo,oƛ.or.ˈaf.o,auxiliary-form: 2nd obligative reciprocal simple (future)
aux_2_obl_rec_ipf_pst,otlorathe,oƛ.or.ˈaθ.e,auxiliary-form: 2nd obligative reciprocal imperfective (past)
aux_2_obl_rec_ipf_prs,otloratha,oƛ.or.ˈaθ.a,auxiliary-form: 2nd obligative reciprocal imperfective (present)
aux_2_obl_rec_ipf_fut,otloratho,oƛ.or.ˈaθ.o,auxiliary-form: 2nd obligative reciprocal imperfective (future)
aux_2_obl_rec_prf_pst,otloralhe,oƛ.or.ˈaɬ.e,auxiliary-form: 2nd obligative reciprocal perfect (past)
aux_2_obl_rec_prf_prs,otloralha,oƛ.or.ˈaɬ.a,auxiliary-form: 2nd obligative reciprocal perfect (present)
aux_2_obl_rec_prf_fut,otloralho,oƛ.or.ˈaɬ.o,auxiliary-form: 2nd obligative reciprocal perfect (future)
aux_2_obl_rec_nea_pst,otloratle,oƛ.or.ˈaƛ.e,auxiliary-form: 2nd obligative reciprocal near (past)
aux_2_obl_rec_nea_prs,otloratla,oƛ.or.ˈaƛ.a,auxiliary-form: 2nd obligative reciprocal near (present)
aux_2_obl_rec_nea_fut,otloratlo,oƛ.or.ˈaƛ.o,auxiliary-form: 2nd obligative reciprocal near (future)
aux_2_obl_rec_imm_pst,otlorake,oƛ.or.ˈak.e,auxiliary-form: 2nd obligative reciprocal immediate (past)
aux_2_obl_rec_imm_prs,otloraka,oƛ.or.ˈak.a,auxiliary-form: 2nd obligative reciprocal immediate (present)
aux_2_obl_rec_imm_fut,otlorako,oƛ.or.ˈak.o,auxiliary-form: 2nd obligative reciprocal immediate (future)
aux_2_obl_rec_hab_pst,otlorame,oƛ.or.ˈam.e,auxiliary-form: 2nd obligative reciprocal habitual (past)
aux_2_obl_rec_hab_prs,otlorama,oƛ.or.ˈam.a,auxiliary-form: 2nd obligative reciprocal habitual (present)
aux_2_obl_rec_hab_fut,otloramo,oƛ.or.ˈam.o,auxiliary-form: 2nd obligative reciprocal habitual (future)
aux_2_obl_rec_pro_pst,otlorase,oƛ.or.ˈas.e,auxiliary-form: 2nd obligative reciprocal progressive (past)
aux_2_obl_rec_pro_prs,otlorasa,oƛ.or.ˈas.a,auxiliary-form: 2nd obligative reciprocal progressive (present)
aux_2_obl_rec_pro_fut,otloraso,oƛ.or.ˈas.o,auxiliary-form: 2nd obligative reciprocal progressive (future)
aux_2_obl_rec_cnt_pst,otlorashe,oƛ.or.ˈaʃ.e,auxiliary-form: 2nd obligative reciprocal continuous (past)
aux_2_obl_rec_cnt_prs,otlorasha,oƛ.or.ˈaʃ.a,auxiliary-form: 2nd obligative reciprocal continuous (present)
aux_2_obl_rec_cnt_fut,otlorasho,oƛ.or.ˈaʃ.o,auxiliary-form: 2nd obligative reciprocal continuous (future)
aux_2_obl_rec_itr_pst,otlorane,oƛ.or.ˈan.e,auxiliary-form: 2nd obligative reciprocal iterative (past)
aux_2_obl_rec_itr_prs,otlorana,oƛ.or.ˈan.a,auxiliary-form: 2nd obligative reciprocal iterative (present)
aux_2_obl_rec_itr_fut,otlorano,oƛ.or.ˈan.o,auxiliary-form: 2nd obligative reciprocal iterative (future)
aux_2_obl_rec_inc_pst,otloraye,oƛ.or.ˈaj.e,auxiliary-form: 2nd obligative reciprocal inceptive (past)
aux_2_obl_rec_inc_prs,otloraya,oƛ.or.ˈaj.a,auxiliary-form: 2nd obligative reciprocal inceptive (present)
aux_2_obl_rec_inc_fut,otlorayo,oƛ.or.ˈaj.o,auxiliary-form: 2nd obligative reciprocal inceptive (future)
aux_2_obl_rec_ces_pst,otlorape,oƛ.or.ˈap.e,auxiliary-form: 2nd obligative reciprocal cessative (past)
aux_2_obl_rec_ces_prs,otlorapa,oƛ.or.ˈap.a,auxiliary-form: 2nd obligative reciprocal cessative (present)
aux_2_obl_rec_ces_fut,otlorapo,oƛ.or.ˈap.o,auxiliary-form: 2nd obligative reciprocal cessative (future)
aux_2_obl_rec_rem_pst,otlorahe,oƛ.or.ˈah.e,auxiliary-form: 2nd obligative reciprocal remote (past)
aux_2_obl_rec_rem_prs,otloraha,oƛ.or.ˈah.a,auxiliary-form: 2nd obligative reciprocal remote (present)
aux_2_obl_rec_rem_fut,otloraho,oƛ.or.ˈah.o,auxiliary-form: 2nd obligative reciprocal remote (future)
aux_2_pot_sim_pst,oshofe,oʃ.ˈof.e,auxiliary-form: 2nd potential simple (past)
aux_2_pot_sim_prs,oshofa,oʃ.ˈof.a,auxiliary-form: 2nd potential simple (present)
aux_2_pot_sim_fut,oshofo,oʃ.ˈof.o,auxiliary-form: 2nd potential simple (future)
aux_2_pot_ipf_pst,oshothe,oʃ.ˈoθ.e,auxiliary-form: 2nd potential imperfective (past)
aux_2_pot_ipf_prs,oshotha,oʃ.ˈoθ.a,auxiliary-form: 2nd potential imperfective (present)
aux_2_pot_ipf_fut,oshotho,oʃ.ˈoθ.o,auxiliary-form: 2nd potential imperfective (future)
aux_2_pot_prf_pst,osholhe,oʃ.ˈoɬ.e,auxiliary-form: 2nd potential perfect (past)
aux_2_pot_prf_prs,osholha,oʃ.ˈoɬ.a,auxiliary-form: 2nd potential perfect (present)
aux_2_pot_prf_fut,osholho,oʃ.ˈoɬ.o,auxiliary-form: 2nd potential perfect (future)
aux_2_pot_nea_pst,oshotle,oʃ.ˈoƛ.e,auxiliary-form: 2nd potential near (past)
aux_2_pot_nea_prs,oshotla,oʃ.ˈoƛ.a,auxiliary-form: 2nd potential near (present)
aux_2_pot_nea_fut,oshotlo,oʃ.ˈoƛ.o,auxiliary-form: 2nd potential near (future)
aux_2_pot_imm_pst,oshoke,oʃ.ˈok.e,auxiliary-form: 2nd potential immediate (past)
aux_2_pot_imm_prs,oshoka,oʃ.ˈok.a,auxiliary-form: 2nd potential immediate (present)
aux_2_pot_imm_fut,oshoko,oʃ.ˈok.o,auxiliary-form: 2nd potential immediate (future)
aux_2_pot_hab_pst,oshome,oʃ.ˈom.e,auxiliary-form: 2nd potential habitual (past)
aux_2_pot_hab_prs,oshoma,oʃ.ˈom.a,auxiliary-form: 2nd potential habitual (present)
aux_2_pot_hab_fut,oshomo,oʃ.ˈom.o,auxiliary-form: 2nd potential habitual (future)
aux_2_pot_pro_pst,oshose,oʃ.ˈos.e,auxiliary-form: 2nd potential progressive (past)
aux_2_pot_pro_prs,oshosa,oʃ.ˈos.a,auxiliary-form: 2nd potential progressive (present)
aux_2_pot_pro_fut,oshoso,oʃ.ˈos.o,auxiliary-form: 2nd potential progressive (future)
aux_2_pot_cnt_pst,oshoshe,oʃ.ˈoʃ.e,auxiliary-form: 2nd potential continuous (past)
