English,Tovian,IPA,Roots
56 of summer,mramlor, / mrˈaml.or / ,darkness + plant

56 of winter,nanad, / nˈan.ad / ,star + showing

57 of autumn,lethilekel, / leθ.il.ˈek.el / ,forest + branch

57 of spring,yelathan, / jel.ˈaθ.an / ,person + tool

57 of summer,varedrem, / var.ˈedr.em / ,value + flower

57 of winter,ysaglar, / jsˈagl.ar / ,moon + tree

58 of autumn,mlor, / mlˈor / ,sun + plant

58 of spring,ysol, / jsˈol / ,moon + fruit

58 of summer,ysdmfed, / jsdmfˈed / ,moon + bloom

58 of winter,mer, / mˈer / ,earth + showing

59 of autumn,glareshol, / glar.ˈeʃ.ol / ,tree + fruit

59 of spring,keluaglar, / kel.u.ˈagl.ar / ,branch + tree

59 of summer,rithiledyel, / riθ.il.ˈedj.el / ,sky + person

59 of winter,varefethr, / var.ˈef.eθr / ,value + speaking

6 of autumn,mar, / mˈar / ,sun + mother

6 of spring,shimilor, / ʃim.ˈil.or / ,mystery + plant

6 of summer,meloreathang, / mel.or.e.ˈaθ.aŋ / ,plant + leaf

6 of winter,shotltom, / ʃˈoƛt.om / ,flowing + root

6,tem, / tˈem / ,_

60 of autumn,leshor, / lˈeʃ.or / ,harvest + action

60 of spring,rithilekwil, / riθ.il.ˈekw.il / ,sky + movement

60 of summer,lhenumlhen, / ɬen.ˈumɬ.en / ,center + path + dream

60 of winter,nanadyethil, / nan.adj.ˈeθ.il / ,star + home

61 of autumn,nanasyaleth, / nan.asj.ˈal.eθ / ,star + food

61 of spring,selaglar, / sel.ˈagl.ar / ,water + tree

61 of summer,mloanadrem, / mlo.an.ˈadr.em / ,morning + flower

61 of winter,tushulor, / tuʃ.ˈul.or / ,cold + plant

62 of autumn,lhoman, / ɬˈom.an / ,day + light

62 of spring,meloresel, / mel.or.ˈes.el / ,plant + water

62 of summer,teshaglar, / teʃ.ˈagl.ar / ,sound + tree

62 of winter,sulramen, / sulr.ˈam.en / ,bottom + darkness + stone

63 of autumn,haralor, / ħar.ˈal.or / ,pain + plant

63 of spring,shotlen, / ʃˈoƛ.en / ,flowing + dream

63 of summer,munanilor, / mun.an.ˈil.or / ,covering + plant

63 of winter,mralingtlun, / mral.ˈiŋƛ.un / ,darkness + tar

64 of autumn,ay, / ˈaj / ,moon + ???

64 of spring,shashithan, / ʃaʃ.ˈiθ.an / ,ice + sharpness + tool

64 of summer,kelushith, / kel.ˈuʃ.iθ / ,branch + sharpness

64 of winter,nanamen, / nan.ˈam.en / ,star + stone

65 of autumn,teleay, / tel.ˈe.aj / ,lake + feather

65 of spring,doltlan, / dˈolƛ.an / ,death + animal

65 of summer,mral, / mrˈal / ,darkness + ???

65 of winter,ysanon, / jsˈan.on / ,moon + dog

66 of autumn,holalor, / ħol.ˈal.or / ,sweet + plant

66 of spring,rithor, / rˈiθ.or / ,air + plant

66 of summer,lhenathan, / ɬen.ˈaθ.an / ,dream + tool

66 of winter,lhenashotl, / ɬen.ˈaʃ.oƛ / ,dream + flow

67 of autumn,lhuloresyaleth, / ɬul.or.esj.ˈal.eθ / ,goodness + grain

67 of spring,munaniay, / mun.an.ˈi.aj / ,protection + moon

67 of summer,aysdrem, / ˈajsdr.em / ,moon + flower

67 of winter,menlor, / mˈenl.or / ,earth + plant

68 of autumn,dolag, / dˈol.ag / ,death + hotness

68 of spring,munorhanalor, / mun.orħ.an.ˈal.or / ,dusk + plant

68 of summer,menrunan, / menr.ˈun.an / ,earth + hat

68 of winter,mersyaleth, / mersj.ˈal.eθ / ,earth + food

69 of autumn,rithtom, / rˈiθt.om / ,air + root

69 of spring,teleaglar, / tel.e.ˈagl.ar / ,lake + tree

69 of summer,selrem, / sˈelr.em / ,water + flower

69 of winter,shalhen, / ʃˈaɬ.en / ,ice + dream

7 of autumn,ay, / ˈaj / ,moon + ???

7 of spring,mrilamen, / mril.ˈam.en / ,sight + stone

7 of summer,glarenan, / glar.ˈen.an / ,tree + star

7 of winter,mloanathan, / mlo.an.ˈaθ.an / ,morning + tool

7,pol, / pˈol / ,_

70 of autumn,mrallhenathan, / mralɬ.en.ˈaθ.an / ,darkness + dream + tool

70 of spring,shotlol, / ʃˈoƛ.ol / ,flowing + fruit

70 of summer,nanalor, / nan.ˈal.or / ,star + action

70 of winter,tushuthan, / tuʃ.ˈuθ.an / ,cold + tool

71 of autumn,shithanin, / ʃiθ.ˈan.in / ,sharpness + berry

71 of spring,mramlorean, / mraml.or.ˈe.an / ,darkness + plant + light

71 of summer,lanathan, / lan.ˈaθ.an / ,twilight + tool

71 of winter,thanramen, / θanr.ˈam.en / ,tool + darkness + stone

72 of autumn,lethileaglar, / leθ.il.e.ˈagl.ar / ,forest + tree

72 of spring,dleleon, / dlel.ˈe.on / ,trunk + mouth

72 of summer,mloanatesh, / mlo.an.ˈat.eʃ / ,morning + sound

72 of winter,numvar, / nˈumv.ar / ,path + value

73 of autumn,kanaithr, / kan.ˈa.iθr / ,change + thought

73 of spring,???, / ??? / ,???

73 of summer,efan, / ˈef.an / ,sun + tool

73 of winter,mramen, / mrˈam.en / ,darkness + stone

74 of autumn,sillhum, / sˈilɬ.um / ,existence + goodness

74 of spring,shotl, / ʃˈoƛ / ,flowing + ???

74 of summer,glaretesh, / glar.ˈet.eʃ / ,tree + sound

74 of winter,menmen, / mˈenm.en / ,earth + stone

75 of autumn,mloanarithan, / mlo.an.ar.ˈiθ.an / ,morning + bird

75 of spring,aysan, / ˈajs.an / ,moon + animal

75 of summer,holalor, / ħol.ˈal.or / ,sweet + action

75 of winter,shashol, / ʃˈaʃ.ol / ,ice + fruit

76 of autumn,fedemralrem, / fed.emr.ˈalr.em / ,showing + darkness + flower

76 of spring,rithilesyaleth, / riθ.il.esj.ˈal.eθ / ,sky + food

76 of summer,melrem, / mˈelr.em / ,life + flower

76 of winter,namen, / nˈam.en / ,light + stone

77 of autumn,lhiladrem, / ɬil.ˈadr.em / ,night + flower

77 of spring,kelueon, / kel.u.ˈe.on / ,branch + mouth

77 of summer,keluthan, / kel.ˈuθ.an / ,branch + tool

77 of winter,lhenamen, / ɬen.ˈam.en / ,dream + earth

78 of autumn,lhenakel, / ɬen.ˈak.el / ,dream + branch

78 of spring,mralel, / mrˈal.el / ,darkness + branch

78 of summer,varetlun, / var.ˈeƛ.un / ,value + joining

78 of winter,ysdeshol, / jsdˈeʃ.ol / ,moon + showing + fruit

79 of autumn,nanathang, / nan.ˈaθ.aŋ / ,star + leaf

79 of spring,ysor, / jsˈor / ,moon + plant

79 of summer,mralaysor, / mral.ˈajs.or / ,darkness + moon + plant

79 of winter,nanalhen, / nan.ˈaɬ.en / ,star + dream

8 of autumn,munorhanapal, / mun.orħ.an.ˈap.al / ,dusk + stopping

8 of spring,todakesh, / tod.ˈak.eʃ / ,eternal + fire

8 of summer,nalhom, / nˈaɬ.om / ,light + container

8 of winter,dolrem, / dˈolr.em / ,death + flower

8,ath, / ˈaθ / ,_

80 of autumn,nathan, / nˈaθ.an / ,light + tool

80 of spring,shotlrleth, / ʃˈoƛrl.eθ / ,flowing + hoe

80 of summer,thangethan, / θaŋ.ˈeθ.an / ,leaf + tool

80 of winter,mrathan, / mrˈaθ.an / ,darkness + tool

81 of autumn,???, / ??? / ,???

81 of spring,sethok, / sˈeθ.ok / ,water + down

81 of summer,lhenashotlodrem, / ɬen.aʃ.oƛ.ˈodr.em / ,dream + flowing + flower

81 of winter,dremen, / drˈem.en / ,flower + stone

82 of autumn,???, / ??? / ,???

82 of spring,shotlom, / ʃˈoƛ.om / ,flowing + bloom

82 of summer,munorhanatesh, / mun.orħ.an.ˈat.eʃ / ,dusk + sound

82 of winter,syalethanan, / sjal.eθ.ˈan.an / ,food + star

83 of autumn,holamel, / ħol.ˈam.el / ,sweet + life

83 of spring,mloanalor, / mlo.an.ˈal.or / ,morning + plant

83 of summer,yelan, / jˈel.an / ,person + light

83 of winter,aymen, / ˈajm.en / ,moon + stone

84 of autumn,rithdrem, / rˈiθdr.em / ,air + flower

84 of spring,selumlor, / sel.ˈuml.or / ,water + vine

84 of summer,lhenaglar, / ɬen.ˈagl.ar / ,dream + tree

84 of winter,mloanamen, / mlo.an.ˈam.en / ,morning + metal

85 of autumn,lhenarith, / ɬen.ˈar.iθ / ,dream + air

85 of spring,nanatlan, / nan.ˈaƛ.an / ,star + animal

85 of summer,yselom, / jsˈel.om / ,moon + memory

85 of winter,nanatan, / nan.ˈat.an / ,star + face

86 of autumn,nunasil, / nun.ˈas.il / ,small + existence

86 of spring,dolor, / dˈol.or / ,death + blue

86 of summer,keshaglar, / keʃ.ˈagl.ar / ,fire + tree

86 of winter,lanamen, / lan.ˈam.en / ,twilight + metal

87 of autumn,ysen, / jsˈen / ,moon + dream

87 of spring,yskel, / jskˈel / ,moon + branch

87 of summer,rithenalor, / riθ.en.ˈal.or / ,air + dream + plant

87 of winter,mramen, / mrˈam.en / ,darkness + metal

88 of autumn,engothr, / ˈeŋ.oθr / ,sun + time

88 of spring,mloanakel, / mlo.an.ˈak.el / ,dawn + branch

88 of summer,mralor, / mrˈal.or / ,darkness + blue

88 of winter,lan, / lˈan / ,twilight + ???

89 of autumn,haradrem, / ħar.ˈadr.em / ,pain + flower

89 of spring,shotleon, / ʃoƛ.ˈe.on / ,flowing + mouth

89 of summer,fidol, / fˈid.ol / ,sun + GEN + death

89 of winter,tleshmen, / ƛˈeʃm.en / ,speed + metal

9 of autumn,lhenashith, / ɬen.ˈaʃ.iθ / ,dream + sharpness

9 of spring,shatom, / ʃˈat.om / ,ice + root

9 of summer,temen, / tˈem.en / ,sound + stone

9 of winter,lrithaglar, / lriθ.ˈagl.ar / ,breath + tree

9,ki, / kˈi / ,_

90 of autumn,meloresyalethalor, / mel.or.esj.al.eθ.ˈal.or / ,grain + plant

90 of spring,shakwil, / ʃˈakw.il / ,ice + movement

90 of summer,falnan, / fˈaln.an / ,leader + star

90 of winter,shathan, / ʃˈaθ.an / ,ice + tool

